,rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
0,1,Cruz Azul,9,7,2,0,20,3,+17,23,2.56,17.2,5.4,+11.7,+1.31,8,6,1,1,19,9,+10,19,2.38,13.6,8.5,+5.2,+0.64
1,2,Toluca,9,7,2,0,28,7,+21,23,2.56,15.4,8.8,+6.6,+0.73,8,3,3,2,10,9,+1,12,1.50,9.7,11.9,-2.2,-0.27
2,3,UANL,8,6,2,0,11,5,+6,20,2.50,10.9,8.0,+2.9,+0.37,9,4,2,3,14,10,+4,14,1.56,16.3,9.9,+6.4,+0.71
3,4,UNAM,8,6,0,2,14,6,+8,18,2.25,15.1,5.4,+9.8,+1.22,9,3,4,2,7,7,0,13,1.44,10.3,7.2,+3.1,+0.35
4,5,Atlético,8,7,1,0,18,5,+13,22,2.75,12.6,7.0,+5.6,+0.70,9,2,2,5,9,14,-5,8,0.89,9.8,13.2,-3.4,-0.38
5,6,Monterrey,8,4,2,2,14,11,+3,14,1.75,13.3,10.7,+2.6,+0.32,8,4,2,2,10,7,+3,14,1.75,11.3,9.7,+1.6,+0.20
6,7,América,8,6,0,2,14,5,+9,18,2.25,11.5,5.4,+6.1,+0.77,9,2,3,4,13,16,-3,9,1.00,13.3,7.8,+5.5,+0.61
7,8,Tijuana,8,5,2,1,16,12,+4,17,2.13,11.8,10.9,+0.9,+0.11,8,2,3,3,6,12,-6,9,1.13,9.4,14.8,-5.5,-0.68
8,9,Guadalajara,9,4,3,2,15,7,+8,15,1.67,13.0,7.3,+5.7,+0.63,8,3,1,4,9,8,+1,10,1.25,8.9,10.3,-1.5,-0.19
9,10,Atlas,8,3,4,1,8,5,+3,13,1.63,8.0,7.6,+0.4,+0.05,8,2,2,4,9,18,-9,8,1.00,7.7,9.4,-1.7,-0.21
10,11,León,9,2,6,1,9,5,+4,12,1.33,11.3,9.2,+2.1,+0.23,7,1,3,3,11,16,-5,6,0.86,5.3,13.4,-8.0,-1.15
11,12,FC Juárez,8,1,2,5,10,15,-5,5,0.63,8.0,12.5,-4.6,-0.57,9,4,0,5,12,21,-9,12,1.33,9.4,18.3,-8.9,-0.99
12,13,Necaxa,8,3,2,3,13,9,+4,11,1.38,12.3,9.2,+3.1,+0.38,8,0,3,5,7,17,-10,3,0.38,8.3,13.2,-4.8,-0.61
13,14,Mazatlán,8,2,4,2,10,11,-1,10,1.25,12.2,11.7,+0.5,+0.07,9,0,4,5,0,8,-8,4,0.44,9.4,10.9,-1.4,-0.16
14,15,Puebla,9,3,1,5,13,15,-2,10,1.11,14.0,10.0,+4.1,+0.45,7,1,1,5,3,14,-11,4,0.57,3.5,13.9,-10.5,-1.50
15,16,Pachuca,8,2,2,4,13,13,0,8,1.00,11.7,7.9,+3.8,+0.47,9,1,2,6,7,16,-9,5,0.56,8.3,11.1,-2.8,-0.31
16,17,Querétaro,8,2,1,5,6,11,-5,7,0.88,7.8,12.5,-4.7,-0.59,9,1,2,6,7,20,-13,5,0.56,6.4,16.8,-10.4,-1.16
17,18,Santos,9,2,3,4,7,13,-6,9,1.00,11.1,16.2,-5.2,-0.57,8,0,1,7,5,17,-12,1,0.13,4.9,17.0,-12.1,-1.51
