,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,América,17,12,4,1,37,14,+23,40,2.35,31.9,12.8,+19.1,+1.12,→ Apertura — Quarter-finals
1,2,Monterrey,17,10,3,4,27,15,+12,33,1.94,22.9,16.8,+6.1,+0.36,→ Apertura — Quarter-finals
2,3,UANL,17,8,6,3,32,18,+14,30,1.76,25.7,18.8,+6.9,+0.40,→ Apertura — Quarter-finals
3,4,UNAM,17,8,4,5,27,18,+9,28,1.65,28.0,17.1,+10.9,+0.64,→ Apertura — Quarter-finals
4,5,Guadalajara,17,8,3,6,22,22,0,27,1.59,20.7,21.2,-0.5,-0.03,→ Apertura — Quarter-finals
5,6,Puebla,17,7,4,6,24,25,-1,25,1.47,19.3,32.9,-13.5,-0.79,→ Apertura — Quarter-finals
6,7,Atlético,17,7,2,8,31,26,+5,23,1.35,23.0,21.6,+1.5,+0.09,→ Apertura — 7-seed match
7,8,León,17,6,5,6,23,22,+1,23,1.35,24.2,17.9,+6.3,+0.37,→ Apertura — 7-seed match
8,9,Santos,17,7,2,8,31,34,-3,23,1.35,27.0,26.6,+0.5,+0.03,→ Apertura — 9/10 match
9,10,Mazatlán,17,6,4,7,25,27,-2,22,1.29,22.7,27.7,-5.0,-0.30,→ Apertura — 9/10 match
10,11,Pachuca,17,5,7,5,16,27,-11,22,1.29,23.9,28.7,-4.8,-0.29,
11,12,Toluca,17,5,6,6,23,19,+4,21,1.24,26.2,22.3,+3.9,+0.23,
12,13,Tijuana,17,6,2,9,23,26,-3,20,1.18,18.5,24.4,-5.9,-0.35,
13,14,Querétaro,17,5,4,8,18,29,-11,19,1.12,21.3,27.7,-6.4,-0.38,
14,15,FC Juárez,17,5,3,9,24,34,-10,18,1.06,18.1,26.7,-8.6,-0.51,
15,16,Cruz Azul,17,5,2,10,21,29,-8,17,1.00,23.9,24.2,-0.3,-0.02,
16,17,Atlas,17,4,5,8,14,24,-10,17,1.00,19.1,22.1,-2.9,-0.17,
17,18,Necaxa,17,3,6,8,18,27,-9,15,0.88,16.1,23.1,-7.0,-0.41,
